image,image_data,object_info,actr_data
000000084273.jpg,"[['bowl', 63.04540634155274, 1545, 1211, 445, 217], ['diningtable', 98.02094101905823, 1492, 209, 985, 166], ['cup', 99.80095028877258, 761, 205, 955, 442], ['bottle', 87.27755546569824, 347, 132, 204, 9], ['cup', 79.15202379226685, 1531, 1237, 431, 178], ['spoon', 60.47946214675903, 991, 795, 603, 277], ['fork', 66.618674993515, 997, 829, 592, 296], ['cake', 96.92659974098206, 1230, 982, 644, 363], ['fork', 98.455810546875, 1003, 693, 941, 498], ['spoon', 70.77391743659973, 1311, 1199, 231, 147]]","[['bowl', 63.04540634155274, 1378, 331, 76152, 2.6418251058742115], ['diningtable', 98.02094101905823, 850, 575, 1050777, 3.324279685237273], ['cup', 99.80095028877258, 483, 698, 285228, 2.991712914547288], ['bottle', 87.27755546569824, 239, 106, 41925, 2.969484507224836], ['cup', 79.15202379226685, 1384, 304, 74382, 3.0261465601971067], ['spoon', 60.47946214675903, 893, 440, 63896, 2.7631713364465527], ['fork', 66.618674993515, 913, 444, 49728, 2.808479085739124], ['cake', 96.92659974098206, 1106, 503, 69688, 3.270806934470531], ['fork', 98.455810546875, 848, 719, 137330, 3.27761095022059], ['spoon', 70.77391743659973, 1255, 189, 9408, 2.76181093865161]]",[]
000000085404.jpg,"[['banana', 98.68978261947632, 1552, 932, 780, 186], ['cell phone', 77.24858522415161, 755, 300, 961, 606], ['banana', 96.18437886238098, 1053, 583, 1048, 529], ['bottle', 79.94214892387392, 1225, 1006, 302, 20]]","[['banana', 98.68978261947632, 1242, 483, 368280, 3.2069596267317144], ['cell phone', 77.24858522415161, 527, 783, 161525, 2.9945241383939747], ['banana', 96.18437886238098, 818, 788, 243930, 3.1335113164399115], ['bottle', 79.94214892387392, 1115, 161, 61758, 2.934291417260738]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 527, screen_y= 783, value= ), value= cell phone) [0.5849]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 818, screen_y= 788, value= None), value= banana) [1.0498]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1242, screen_y= 483, value= None), value= banana) [1.5765]']"
000000086135.jpg,"[['car', 95.25681138038635, 701, 162, 207, 30], ['bicycle', 68.43843460083008, 1293, 378, 1058, 85]]","[['car', 95.25681138038635, 431, 118, 95403, 2.9837837560607006], ['bicycle', 68.43843460083008, 835, 571, 890295, 2.9514349455304756]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 431, screen_y= 118, value= ), value= car) [0.4787]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 835, screen_y= 571, value= None), value= bicycle) [1.0924]']"
000000086596.jpg,"[['bottle', 98.04342985153198, 1232, 1107, 947, 624]]","[['bottle', 98.04342985153198, 1169, 785, 40375, 3.2012339400325276]]",[]
000000092217.jpg,"[['laptop', 98.51182103157043, 1399, 880, 1100, 815], ['bottle', 83.52077007293701, 299, 197, 412, 184], ['cell phone', 82.54403471946715, 641, 579, 247, 137]]","[['laptop', 98.51182103157043, 1139, 957, 147915, 3.192937981861954], ['bottle', 83.52077007293701, 248, 298, 23256, 2.9834915120217023], ['cell phone', 82.54403471946715, 610, 192, 6820, 3.0024034536016777]]",[]
000000092288.jpg,"[['diningtable', 97.93884158134459, 1546, 123, 977, 16], ['cup', 79.23106551170348, 1264, 1033, 407, 18], ['fork', 62.34816908836365, 1158, 1013, 745, 244], ['carrot', 70.99704146385194, 1040, 950, 482, 408]]","[['diningtable', 97.93884158134459, 834, 496, 1367503, 3.0127772682161686], ['cup', 79.23106551170348, 1148, 212, 89859, 2.8927998413074976], ['fork', 62.34816908836365, 1085, 494, 72645, 2.848478343620663], ['carrot', 70.99704146385194, 995, 445, 6660, 2.8272701822906496]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 834, screen_y= 496, value= ), value= diningtable) [0.4821]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 995, screen_y= 445, value= None), value= carrot) [1.0113]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1085, screen_y= 494, value= None), value= fork) [1.4298]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1148, screen_y= 212, value= None), value= cup) [1.912]']"
000000093267.jpg,"[['diningtable', 96.187561750412, 1521, 96, 1085, 73], ['cup', 99.17640089988708, 1271, 1002, 440, 44]]","[['diningtable', 96.187561750412, 808, 579, 1442100, 3.0034173661144363], ['cup', 99.17640089988708, 1136, 242, 106524, 3.198659333582659]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 808, screen_y= 579, value= ), value= diningtable) [0.6308]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1136, screen_y= 242, value= None), value= cup) [1.2182]']"
000000100223.jpg,"[['oven', 77.69981026649475, 1097, 607, 1081, 656], ['sink', 66.81761145591736, 1629, 865, 1109, 733], ['bottle', 93.08384656906128, 1473, 1401, 774, 565], ['wine glass', 65.87689518928528, 973, 928, 293, 198], ['apple', 63.82936239242554, 713, 672, 494, 458]]","[['oven', 77.69981026649475, 852, 868, 208250, 2.931476502530187], ['sink', 66.81761145591736, 1247, 921, 287264, 2.922346230423443], ['bottle', 93.08384656906128, 1437, 669, 15048, 3.0810819208757825], ['wine glass', 65.87689518928528, 950, 245, 4275, 2.8940609795139016], ['apple', 63.82936239242554, 692, 476, 1476, 2.411828595014986]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 692, screen_y= 476, value= ), value= apple) [0.651]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 950, screen_y= 245, value= None), value= wine glass) [0.9949]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 852, screen_y= 868, value= None), value= oven) [1.5112]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1247, screen_y= 921, value= None), value= sink) [2.0439]']"
000000105576.jpg,"[['broccoli', 96.82106375694276, 1337, 955, 393, 57], ['bottle', 98.9001214504242, 1550, 1309, 401, 34], ['cup', 77.92318463325499, 875, 668, 661, 492]]","[['broccoli', 96.82106375694276, 1146, 225, 128352, 3.1969267439761446], ['bottle', 98.9001214504242, 1429, 217, 88447, 3.2765925052207208], ['cup', 77.92318463325499, 771, 576, 34983, 2.907989005814788]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 771, screen_y= 576, value= ), value= cup) [0.7768]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1146, screen_y= 225, value= None), value= broccoli) [1.1715]']"
000000107147.jpg,"[['diningtable', 89.49541449546814, 1335, 97, 1010, 125], ['bottle', 99.43054914474487, 518, 290, 408, 40], ['donut', 99.59886074066162, 985, 759, 569, 391], ['donut', 97.17841744422913, 1234, 1023, 713, 538], ['donut', 89.90976810455322, 848, 648, 699, 585], ['donut', 87.50236630439758, 1039, 833, 710, 552], ['cup', 99.82869029045105, 625, 356, 976, 700]]","[['diningtable', 89.49541449546814, 716, 567, 1095630, 3.0474768968138584], ['bottle', 99.43054914474487, 404, 224, 83904, 3.1409833720953424], ['donut', 99.59886074066162, 872, 480, 40228, 3.1553607950830993], ['donut', 97.17841744422913, 1128, 625, 36925, 3.1083561307549856], ['donut', 89.90976810455322, 748, 642, 22800, 3.1440901392448857], ['donut', 87.50236630439758, 936, 631, 32548, 3.057651528042047], ['cup', 99.82869029045105, 490, 838, 74244, 3.1577294392713275]]",[]
000000116577.jpg,"[['refrigerator', 84.88181233406067, 1366, 116, 1036, 81], ['bottle', 93.33443641662598, 1581, 1420, 1075, 792]]","[['refrigerator', 84.88181233406067, 741, 558, 1193750, 2.9767464090817946], ['bottle', 93.33443641662598, 1500, 933, 45563, 3.3063030652915057]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 741, screen_y= 558, value= ), value= refrigerator) [0.7072]']"
000000122602.jpg,"[['bottle', 89.57093358039856, 532, 339, 560, 163], ['scissors', 99.85653758049013, 531, 287, 934, 577]]","[['bottle', 89.57093358039856, 435, 361, 76621, 3.0526806606343047], ['scissors', 99.85653758049013, 409, 755, 87108, 3.133071403827497]]",[]
000000124995.jpg,"[['pottedplant', 65.72268009185791, 1162, 520, 763, 191], ['vase', 99.77328181266785, 1438, 1101, 734, 237], ['vase', 89.51736092567444, 976, 766, 724, 507]]","[['pottedplant', 65.72268009185791, 841, 477, 367224, 2.627957947287411], ['vase', 99.77328181266785, 1269, 485, 167489, 3.2325374668357236], ['vase', 89.51736092567444, 871, 615, 45570, 2.872472050814249]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 841, screen_y= 477, value= ), value= pottedplant) [0.5749]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 871, screen_y= 615, value= None), value= vase) [1.0006]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1269, screen_y= 485, value= None), value= vase) [1.5721]']"
000000128398.jpg,"[['pizza', 76.44671797752379, 1410, 898, 351, 210], ['diningtable', 83.87168645858766, 1535, 157, 949, 187], ['pizza', 67.43210554122925, 1304, 293, 822, 406], ['wine glass', 91.51403903961182, 621, 442, 263, 21], ['bottle', 82.40534663200378, 851, 731, 329, 65]]","[['pizza', 76.44671797752379, 1154, 280, 72192, 2.8661143528088138], ['diningtable', 83.87168645858766, 846, 568, 1050036, 3.185633289885442], ['pizza', 67.43210554122925, 798, 614, 420576, 2.978860262400623], ['wine glass', 91.51403903961182, 531, 142, 43318, 3.0416666548763787], ['bottle', 82.40534663200378, 791, 197, 31680, 2.8212528093300655]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 531, screen_y= 142, value= ), value= wine glass) [0.6681]']"
000000131595.jpg,"[['clock', 99.8607099056244, 1573, 968, 783, 74], ['clock', 97.553813457489, 777, 381, 926, 632], ['clock', 99.50522184371948, 1071, 805, 766, 463], ['bottle', 86.71348094940186, 1550, 1458, 852, 542]]","[['clock', 99.8607099056244, 1270, 428, 428945, 2.8970263296888867], ['clock', 97.553813457489, 579, 779, 116424, 3.123786650878575], ['clock', 99.50522184371948, 938, 614, 80598, 3.051264021239255], ['bottle', 86.71348094940186, 1504, 697, 28520, 2.84143186811583]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 579, screen_y= 779, value= ), value= clock) [0.711]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 938, screen_y= 614, value= None), value= clock) [1.0881]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1270, screen_y= 428, value= None), value= clock) [1.771]']"
000000134769.jpg,"[['chair', 98.71430397033691, 683, 280, 245, 9], ['diningtable', 93.868225812912, 1454, 146, 1077, 229], ['pizza', 98.79998564720154, 1365, 139, 1076, 321], ['bottle', 93.15155148506165, 944, 776, 325, 60]]","[['chair', 98.71430397033691, 481, 127, 95108, 3.2904302633536706], ['diningtable', 93.868225812912, 800, 653, 1109184, 2.976684189302038], ['pizza', 98.79998564720154, 752, 698, 925630, 3.1577763865020634], ['bottle', 93.15155148506165, 860, 192, 44520, 3.2641255071151156]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 481, screen_y= 127, value= ), value= chair) [0.5474]']"
000000137967.jpg,"[['tvmonitor', 99.32815432548523, 869, 496, 647, 337], ['keyboard', 99.55508708953856, 1528, 1123, 858, 679], ['tvmonitor', 99.70482587814331, 1541, 1220, 665, 340], ['book', 62.3973548412323, 1031, 957, 672, 470], ['keyboard', 99.8509407043457, 865, 465, 799, 717], ['book', 60.58477759361267, 1099, 879, 955, 810], ['mouse', 99.58937168121338, 1014, 928, 772, 722]]","[['tvmonitor', 99.32815432548523, 682, 492, 115630, 3.048863113375285], ['keyboard', 99.55508708953856, 1325, 768, 72495, 3.2748944394491155], ['tvmonitor', 99.70482587814331, 1380, 502, 104325, 3.100216772223922], ['book', 62.3973548412323, 994, 571, 14948, 2.6905578370810015], ['keyboard', 99.8509407043457, 665, 758, 32800, 3.0535667520496177], ['book', 60.58477759361267, 989, 882, 31900, 2.5870708341232467], ['mouse', 99.58937168121338, 971, 747, 4300, 3.0295769010245044]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 682, screen_y= 492, value= ), value= tvmonitor) [0.6229]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 665, screen_y= 758, value= None), value= keyboard) [1.0614]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 971, screen_y= 747, value= None), value= mouse) [1.4961]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 989, screen_y= 882, value= None), value= book) [1.9556]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 994, screen_y= 571, value= None), value= book) [2.4955]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1325, screen_y= 768, value= None), value= keyboard) [3.0807]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1380, screen_y= 502, value= None), value= tvmonitor) [3.4954]']"
000000138086.jpg,"[['chair', 99.69993829727171, 1171, 562, 286, 32], ['pizza', 95.63360214233398, 1063, 467, 665, 453], ['diningtable', 99.7493863105774, 1658, 68, 1032, 238], ['pizza', 87.22705841064453, 1247, 408, 978, 662], ['wine glass', 99.94302988052368, 1219, 1059, 533, 116], ['bottle', 99.51162934303284, 339, 160, 793, 56]]","[['chair', 99.69993829727171, 866, 159, 154686, 3.141547200189531], ['pizza', 95.63360214233398, 765, 559, 126352, 2.9256739728562806], ['diningtable', 99.7493863105774, 863, 635, 1262460, 3.1245865627114005], ['pizza', 87.22705841064453, 827, 820, 265124, 3.001406701849055], ['wine glass', 99.94302988052368, 1139, 324, 66720, 3.187596697006282], ['bottle', 99.51162934303284, 249, 424, 131923, 3.1351227621463864]]",[]
000000140373.jpg,"[['chair', 96.72358632087708, 609, 198, 257, 19], ['pizza', 68.75774264335632, 1281, 877, 1049, 731], ['pizza', 85.21203994750977, 1011, 744, 266, 140], ['bottle', 99.80029463768005, 582, 411, 462, 87], ['cup', 97.18369245529176, 266, 135, 616, 269]]","[['chair', 96.72358632087708, 403, 138, 97818, 3.1561068878519447], ['pizza', 68.75774264335632, 1079, 890, 128472, 2.8237619382809576], ['pizza', 85.21203994750977, 877, 203, 33642, 2.830694351144786], ['bottle', 99.80029463768005, 496, 274, 64125, 3.201047684930951], ['cup', 97.18369245529176, 200, 442, 45457, 3.2036048262234207]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 403, screen_y= 138, value= ), value= chair) [0.6983]']"
000000142970.jpg,"[['pizza', 71.92476987838745, 1455, 268, 850, 113], ['diningtable', 94.49884295463562, 1507, 194, 1080, 71], ['wine glass', 67.57902503013611, 674, 452, 93, 18], ['bottle', 81.84285759925842, 1234, 976, 205, 18], ['wine glass', 93.51385831832886, 1551, 1244, 390, 46], ['fork', 99.03716444969177, 495, 125, 497, 419], ['knife', 84.02406573295595, 1538, 1276, 623, 512]]","[['pizza', 71.92476987838745, 861, 481, 874819, 2.8606826646994588], ['diningtable', 94.49884295463562, 850, 575, 1324817, 3.1782884469082604], ['wine glass', 67.57902503013611, 563, 55, 16650, 2.8039403454269394], ['bottle', 81.84285759925842, 1105, 111, 48246, 3.0491282382085165], ['wine glass', 93.51385831832886, 1397, 218, 105608, 2.997789794476093], ['fork', 99.03716444969177, 310, 458, 28860, 3.080723979869316], ['knife', 84.02406573295595, 1407, 567, 29082, 2.97903288316778]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 310, screen_y= 458, value= ), value= fork) [0.5814]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 563, screen_y= 55, value= None), value= wine glass) [1.148]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 861, screen_y= 481, value= None), value= pizza) [1.5469]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 850, screen_y= 575, value= None), value= diningtable) [1.983]']"
000000147659.jpg,"[['sandwich', 99.19813871383668, 675, 178, 1019, 570], ['bowl', 95.73836326599121, 1531, 1005, 1108, 729], ['bottle', 99.75345134735107, 531, 404, 541, 163], ['cup', 98.00894260406494, 348, 150, 651, 389], ['sandwich', 97.8972554206848, 915, 625, 658, 382], ['sandwich', 98.61814379692078, 1219, 903, 685, 450]]","[['sandwich', 99.19813871383668, 426, 794, 223153, 3.36115070525987], ['bowl', 95.73836326599121, 1268, 918, 199354, 3.2718651261585183], ['bottle', 99.75345134735107, 467, 352, 48006, 3.206114150014421], ['cup', 98.00894260406494, 249, 520, 51876, 3.0790109073956113], ['sandwich', 97.8972554206848, 770, 520, 80040, 3.1930581182663134], ['sandwich', 98.61814379692078, 1061, 567, 74260, 3.2704383997965714]]",[]
000000148067.jpg,"[['diningtable', 88.15129995346071, 1466, 202, 1008, 244], ['broccoli', 69.55580711364746, 666, 541, 541, 419], ['bottle', 64.50050473213196, 1454, 1284, 772, 488], ['fork', 97.30451703071594, 432, 134, 877, 391]]","[['diningtable', 88.15129995346071, 834, 626, 965696, 3.0895163411106825], ['broccoli', 69.55580711364746, 603, 480, 15250, 2.8880299642085765], ['bottle', 64.50050473213196, 1369, 630, 48280, 2.7562992737422554], ['fork', 97.30451703071594, 283, 634, 144828, 3.1276149258218715]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 603, screen_y= 480, value= ), value= broccoli) [0.582]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 834, screen_y= 626, value= None), value= diningtable) [1.0115]']"
000000148977.jpg,"[['teddy bear', 99.35625195503236, 1334, 318, 1073, 191], ['bottle', 64.44932222366333, 487, 237, 305, 13], ['keyboard', 90.13882279396057, 1531, 1224, 742, 345]]","[['teddy bear', 99.35625195503236, 826, 632, 896112, 2.952984501623946], ['bottle', 64.44932222366333, 362, 159, 73000, 2.85940620028434], ['keyboard', 90.13882279396057, 1377, 543, 121879, 2.9394421842270257]]",[]
000000165639.jpg,"[['banana', 88.38207721710205, 997, 456, 992, 132]]","[['banana', 88.38207721710205, 726, 562, 465260, 3.104858877325183]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 726, screen_y= 562, value= ), value= banana) [0.5274]']"
000000166375.jpg,"[['oven', 95.83576321601869, 1530, 56, 1085, 203], ['bottle', 89.03299570083618, 1618, 1474, 237, 33]]","[['oven', 95.83576321601869, 793, 644, 1300068, 3.1276200809362646], ['bottle', 89.03299570083618, 1546, 135, 29376, 3.029709531099137]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 793, screen_y= 644, value= ), value= oven) [0.7293]']"
000000177245.jpg,"[['laptop', 99.91378784179688, 918, 419, 1001, 597], ['clock', 66.18058085441591, 1311, 1045, 726, 409], ['bottle', 96.40071988105774, 1608, 1522, 828, 574], ['cup', 70.99876999855043, 1514, 1415, 830, 709], ['mouse', 99.95438456535341, 1149, 1024, 954, 879]]","[['laptop', 99.91378784179688, 668, 799, 201596, 2.948683149724552], ['clock', 66.18058085441591, 1178, 567, 84322, 2.8238917843922935], ['bottle', 96.40071988105774, 1565, 701, 21844, 3.0163650735179632], ['cup', 70.99876999855043, 1464, 769, 11979, 2.8160147795825363], ['mouse', 99.95438456535341, 1086, 916, 9375, 3.089780806258511]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 668, screen_y= 799, value= ), value= laptop) [0.639]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1086, screen_y= 916, value= None), value= mouse) [1.2771]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1178, screen_y= 567, value= None), value= clock) [1.78]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1464, screen_y= 769, value= None), value= cup) [2.4142]']"
000000182213.jpg,"[['laptop', 99.1382360458374, 1616, 920, 1082, 142], ['diningtable', 81.37178421020508, 1072, 95, 1016, 224], ['sandwich', 73.61336946487427, 669, 393, 531, 318], ['bottle', 96.99479341506958, 385, 157, 815, 279]]","[['laptop', 99.1382360458374, 1268, 612, 654240, 3.167670364314544], ['diningtable', 81.37178421020508, 583, 620, 773784, 2.9249048867972416], ['sandwich', 73.61336946487427, 531, 424, 58788, 2.879490942070616], ['bottle', 96.99479341506958, 271, 547, 122208, 3.179197214556384]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 531, screen_y= 424, value= ), value= sandwich) [0.5904]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 583, screen_y= 620, value= None), value= diningtable) [1.0106]']"
000000197609.jpg,"[['hot dog', 99.2447018623352, 902, 462, 901, 711], ['bottle', 80.72174191474916, 383, 180, 822, 270]]","[['hot dog', 99.2447018623352, 682, 806, 83600, 2.9281513872154727], ['bottle', 80.72174191474916, 281, 546, 112056, 3.0456033125082573]]",[]
000000201062.jpg,"[['cup', 80.57212233543395, 1135, 1001, 289, 96], ['bottle', 82.17027187347412, 1405, 1284, 839, 477]]","[['cup', 80.57212233543395, 1068, 192, 25862, 2.773685409832252], ['bottle', 82.17027187347412, 1344, 658, 43802, 2.9808717949895938]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 1068, screen_y= 192, value= ), value= cup) [0.8645]']"
000000204981.jpg,"[['sandwich', 75.43747425079346, 1298, 173, 988, 236], ['cup', 95.68873643875122, 919, 668, 279, 19]]","[['sandwich', 75.43747425079346, 735, 612, 846000, 2.91161211311598], ['cup', 95.68873643875122, 793, 149, 65260, 3.1028017934778855]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 793, screen_y= 149, value= ), value= cup) [0.7537]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 735, screen_y= 612, value= None), value= sandwich) [1.2304]']"
000000211326.jpg,"[['fork', 66.11910462379457, 1013, 452, 456, 322], ['diningtable', 90.5359148979187, 1614, 24, 1099, 164], ['book', 91.74275398254395, 1525, 907, 1060, 443], ['bottle', 94.86781358718872, 652, 368, 229, 14], ['cup', 94.3912148475647, 338, 135, 374, 4]]","[['fork', 66.11910462379457, 732, 389, 75174, 2.802079922509572], ['diningtable', 90.5359148979187, 819, 631, 1486650, 2.900713589164025], ['book', 91.74275398254395, 1216, 751, 381306, 3.174868786308798], ['bottle', 94.86781358718872, 510, 121, 61060, 3.14291873392055], ['cup', 94.3912148475647, 236, 189, 75110, 3.0444597990351077]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 236, screen_y= 189, value= ), value= cup) [0.5238]']"
000000217859.jpg,"[['book', 87.81472444534302, 1226, 500, 869, 237], ['bench', 73.75254034996033, 1447, 224, 995, 113], ['book', 66.22946858406067, 1447, 224, 995, 113], ['bottle', 97.99388647079469, 1571, 1332, 678, 333]]","[['book', 87.81472444534302, 863, 553, 458832, 2.8356675897024592], ['bench', 73.75254034996033, 835, 554, 1078686, 2.7763614900845863], ['book', 66.22946858406067, 835, 554, 1078686, 2.8489243371879023], ['bottle', 97.99388647079469, 1451, 505, 82455, 2.8569075819835876]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 835, screen_y= 554, value= ), value= book) [0.7259 0.9921]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 863, screen_y= 553, value= None), value= book) [1.399]']"
000000219796.jpg,"[['bottle', 67.5274670124054, 1539, 1285, 397, 30], ['broccoli', 66.85205698013307, 1513, 1308, 819, 570]]","[['bottle', 67.5274670124054, 1412, 213, 93218, 2.649695066653829], ['broccoli', 66.85205698013307, 1410, 694, 51045, 2.685131796148967]]",[]
000000223444.jpg,"[['laptop', 88.90506625175476, 1452, -24, 899, 232], ['mouse', 96.02673053741456, 590, 148, 956, 802], ['bottle', 98.01260232925415, 1584, 1301, 1001, 497], ['mouse', 79.26940321922301, 1062, 947, 627, 584]]","[['laptop', 88.90506625175476, 714, 565, 984492, 3.0426495575889194], ['mouse', 96.02673053741456, 369, 879, 68068, 3.1976326015354193], ['bottle', 98.01260232925415, 1442, 749, 142632, 3.1886543922873254], ['mouse', 79.26940321922301, 1004, 605, 4945, 3.032303662605719]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 714, screen_y= 565, value= ), value= laptop) [0.5752]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1004, screen_y= 605, value= None), value= mouse) [1.0257]']"
000000225129.jpg,"[['diningtable', 73.51506948471071, 1616, 71, 1093, 171], ['bottle', 83.84330868721007, 1017, 891, 194, 20], ['cup', 61.90628409385681, 1353, 1085, 250, 31], ['broccoli', 75.65543651580809, 767, 470, 528, 199]]","[['diningtable', 73.51506948471071, 843, 632, 1424490, 2.6926269931973494], ['bottle', 83.84330868721007, 954, 107, 21924, 3.169399186486944], ['cup', 61.90628409385681, 1219, 140, 58692, 2.8030651565170235], ['broccoli', 75.65543651580809, 618, 363, 97713, 2.865624386121555]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 618, screen_y= 363, value= ), value= broccoli) [0.5997]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 843, screen_y= 632, value= None), value= diningtable) [1.1031]']"
000000231822.jpg,"[['bowl', 96.57379984855652, 1381, 1038, 683, 456], ['diningtable', 75.15891790390016, 1559, 131, 1181, 52], ['bottle', 92.20709800720215, 1582, 1444, 325, 41], ['cup', 98.03223013877869, 878, 663, 413, 9], ['cup', 97.70209193229677, 583, 366, 460, 78], ['fork', 94.58226561546326, 1118, 992, 944, 593]]","[['bowl', 96.57379984855652, 1209, 569, 77861, 3.006547122330623], ['diningtable', 75.15891790390016, 845, 616, 1612212, 2.9201314486560546], ['bottle', 92.20709800720215, 1513, 183, 39192, 3.1339488058042773], ['cup', 98.03223013877869, 770, 211, 86860, 3.113085754141523], ['cup', 97.70209193229677, 474, 269, 82894, 3.1961055003990597], ['fork', 94.58226561546326, 1055, 768, 44226, 3.129837344201791]]","['_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= , screen_x= 474, screen_y= 269, value= ), value= cup) [0.5293]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 770, screen_y= 211, value= None), value= cup) [1.1354]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 845, screen_y= 616, value= None), value= diningtable) [1.6773]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1055, screen_y= 768, value= None), value= fork) [2.1468]', '_visual(cmd= move_attention, color= , screen_pos= _visuallocation(color= None, screen_x= 1209, screen_y= 569, value= None), value= bowl) [2.6798]']"
